id,package params,install arguments,additional params
7zip.install,,,
bulk-crap-uninstaller,,,
chocolateygui,,,
cmake.install,ADD_CMAKE_TO_PATH=System ESKTOP_SHORTCUT_REQUESTED=0 ALLUSERS=1,,
crystaldiskinfo.install,,,
everything,/client-service /efu-association /folder-context-menu /start-menu-shortcuts,,
freedownloadmanager,,,
git.install,/GitOnlyOnPath /GitAndUnixToolsOnPath /WindowsTerminalProfile /DefaultBranchName:main /Editor:VisualStudioCode,,
googlechrome,,,--ignore-checksum
haxe,,,
hxd,,,
ilspy,,,
imagemagick.app,,,
krita,,,
llvm,,,
localsend.portable,,,
nodejs.install,,,
notepadplusplus.install,,,
powershell-core,,ADD_FILE_CONTEXT_MENU_RUNPOWERSHELL=1 ADD_EXPLORER_CONTEXT_MENU_OPENPOWERSHELL=1 REGISTER_MANIFEST=1 ADD_PATH=1 ENABLE_PSREMOTING=0 USE_MU=0 ENABLE_MU=0 DISABLE_TELEMETRY=1,
python,,,
regscanner.install,,,
steam,,,
temurin,,,
treesizefree,,,
vcredist-all,,,
visualstudio2022community,,,
vlc.install,/Language:en,,
vscode.install,/NoDesktopIcon /NoQuicklaunchIcon,,
winrar,/English,,
